StartSample,EndSample,StartTimeFromEpochSeconds,StartTimeRelativeToStimulusSeconds,MeanAbsoluteDifferenceHz,GroupAMeanAbsoluteDifferenceHz,GroupBMeanAbsoluteDifferenceHz,RootMeanSquaredDifferenceHz,MaximumAbsoluteDifferenceHz,MatchingPercentage
52,1301,0.204,-0.296,0.218178571428571,0.0713333333333333,0.299759259259259,0.407254288566192,1.77,48.2142857142857
54,1303,0.212,-0.288,0.218178571428571,0.0713333333333333,0.299759259259259,0.409934789626389,1.77,50
50,1299,0.196,-0.304,0.21877380952381,0.0713333333333333,0.300685185185185,0.407877422841093,1.77,48.2142857142857
51,1300,0.2,-0.3,0.21877380952381,0.0713333333333333,0.300685185185185,0.407877422841093,1.77,48.2142857142857
53,1302,0.208,-0.292,0.21877380952381,0.0713333333333333,0.300685185185185,0.409983187808615,1.77,49.1071428571429
251,1500,1,0.5,0.219071428571429,0.0663333333333334,0.303925925925926,0.401548223991187,1.77,44.6428571428571
250,1499,0.996,0.496,0.220559523809524,0.0663333333333334,0.306240740740741,0.403704207683778,1.77,44.6428571428571
249,1498,0.992,0.492,0.221452380952381,0.0663333333333334,0.30762962962963,0.404403960776923,1.77,44.6428571428571
37,1286,0.144,-0.356,0.222880952380952,0.0911666666666667,0.296055555555556,0.401951223053601,1.77,45.5357142857143
247,1496,0.984,0.484,0.222940476190476,0.0663333333333334,0.309944444444444,0.414452335130637,1.77,45.5357142857143
241,1490,0.96,0.46,0.223178571428571,0.0688333333333334,0.308925925925926,0.4153776537539,1.77,43.75
246,1495,0.98,0.48,0.223238095238095,0.0663333333333334,0.310407407407407,0.414488238675116,1.77,44.6428571428571
235,1484,0.936,0.436,0.224071428571429,0.0655000000000001,0.312166666666667,0.421449812485952,1.77,44.6428571428571
236,1485,0.94,0.44,0.224071428571429,0.0655000000000001,0.312166666666667,0.421449812485952,1.77,44.6428571428571
224,1473,0.892,0.392,0.224309523809524,0.076,0.306703703703704,0.424987049289142,1.77,47.3214285714286
23,1272,0.088,-0.412,0.22502380952381,0.106833333333333,0.290685185185185,0.399505279381848,1.77,43.75
49,1298,0.192,-0.308,0.225202380952381,0.0843333333333333,0.303462962962963,0.411952985065968,1.77,47.3214285714286
248,1497,0.988,0.488,0.225321428571429,0.0663333333333334,0.313648148148148,0.415504216546901,1.77,44.6428571428571
245,1494,0.976,0.476,0.225321428571429,0.0663333333333334,0.313648148148148,0.419375603517177,1.77,44.6428571428571
240,1489,0.956,0.456,0.225559523809524,0.0655000000000001,0.314481481481481,0.422406775664151,1.77,43.75
36,1285,0.14,-0.36,0.225559523809524,0.0911666666666667,0.300222222222222,0.407084221620126,1.77,46.4285714285714
234,1483,0.932,0.432,0.225857142857143,0.0638333333333334,0.31587037037037,0.422897347670409,1.77,45.5357142857143
238,1487,0.948,0.448,0.225857142857143,0.0655000000000001,0.314944444444444,0.42720123691932,1.77,44.6428571428571
239,1488,0.952,0.452,0.225857142857143,0.0655000000000001,0.314944444444444,0.42720123691932,1.77,44.6428571428571
227,1476,0.904,0.404,0.226154761904762,0.0753333333333334,0.309944444444444,0.423801887304126,1.77,46.4285714285714
225,1474,0.896,0.396,0.226392857142857,0.076,0.309944444444444,0.423829976767039,1.77,45.5357142857143
226,1475,0.9,0.4,0.226392857142857,0.076,0.309944444444444,0.423829976767039,1.77,45.5357142857143
